Feature,Feature.1,Feature.2,Feature.3,Feature.4,Feature.5,Feature.6,Feature.7,Target,Target.1,Target.2,Target.3,Target.4,Target.5,Target.6,Target.7
-2.50E-06,1.43E-08,1.61E-07,1.21E-08,1.60E-07,1.22E-08,2.50E-06,-1.43E-08,-0.09793406,-0.065018594,-0.095896181,-0.073992179,-0.064967744,0.09794785,-0.073564743,0.095873745
-2.50E-06,1.42E-08,1.65E-07,1.22E-08,1.65E-07,1.21E-08,2.49E-06,-1.42E-08,-0.09787535,-0.064652293,-0.095459107,-0.073815502,-0.064603272,0.097821177,-0.074014232,0.095774436
-2.49E-06,1.42E-08,1.70E-07,1.21E-08,1.70E-07,1.21E-08,2.49E-06,-1.44E-08,-0.097756874,-0.06425973,-0.095720096,-0.073703716,-0.064268729,0.097737673,-0.07329841,0.096405509
-2.48E-06,1.43E-08,1.75E-07,1.19E-08,1.74E-07,1.20E-08,2.48E-06,-1.43E-08,-0.097642782,-0.063932338,-0.095812237,-0.072964525,-0.063883914,0.097655155,-0.072357913,0.095789936
-2.48E-06,1.42E-08,1.80E-07,1.19E-08,1.80E-07,1.19E-08,2.48E-06,-1.42E-08,-0.097580723,-0.063570943,-0.09541306,-0.072564079,-0.06352567,0.097528384,-0.07256352,0.095386615
-2.47E-06,1.42E-08,1.84E-07,1.19E-08,1.85E-07,1.19E-08,2.47E-06,-1.43E-08,-0.097462617,-0.063182686,-0.095458044,-0.072474101,-0.06319205,0.0974457,-0.072220071,0.095877836
-2.46E-06,1.42E-08,1.90E-07,1.17E-08,1.89E-07,1.18E-08,2.46E-06,-1.42E-08,-0.097347145,-0.062856643,-0.095623033,-0.071896055,-0.062809047,0.097359258,-0.071312609,0.095599999
-2.46E-06,1.42E-08,1.94E-07,1.17E-08,1.94E-07,1.17E-08,2.46E-06,-1.42E-08,-0.097281868,-0.062499106,-0.095319879,-0.071369474,-0.062456252,0.097230777,-0.071255235,0.095097621
-2.45E-06,1.42E-08,1.99E-07,1.17E-08,1.99E-07,1.17E-08,2.45E-06,-1.42E-08,-0.097163353,-0.062115361,-0.095208442,-0.071230185,-0.062125078,0.097148688,-0.071114655,0.095386044
-2.45E-06,1.42E-08,2.04E-07,1.16E-08,2.03E-07,1.17E-08,2.45E-06,-1.42E-08,-0.097047067,-0.061791226,-0.095363925,-0.070795395,-0.061743513,0.097059599,-0.070344496,0.095339958
-2.44E-06,1.42E-08,2.08E-07,1.15E-08,2.08E-07,1.16E-08,2.44E-06,-1.41E-08,-0.096978986,-0.061436842,-0.095167392,-0.070227443,-0.061395163,0.096928591,-0.070073915,0.094876724
-2.43E-06,1.42E-08,2.13E-07,1.15E-08,2.13E-07,1.15E-08,2.43E-06,-1.42E-08,-0.096859436,-0.061057438,-0.094968553,-0.070010537,-0.061067438,0.09684643,-0.069994722,0.094972488
-2.43E-06,1.42E-08,2.18E-07,1.14E-08,2.17E-07,1.15E-08,2.43E-06,-1.42E-08,-0.096742491,-0.060735748,-0.095069672,-0.069676912,-0.060687558,0.096755695,-0.069390319,0.095044953
-2.42E-06,1.42E-08,2.22E-07,1.14E-08,2.22E-07,1.14E-08,2.42E-06,-1.41E-08,-0.096672092,-0.06038416,-0.09496106,-0.069125734,-0.060342746,0.096621986,-0.06898397,0.094689768
-2.41E-06,1.41E-08,2.27E-07,1.14E-08,2.27E-07,1.14E-08,2.41E-06,-1.41E-08,-0.096551116,-0.060008752,-0.094733436,-0.068833574,-0.06001895,0.096538996,-0.068872806,0.094642089
-2.41E-06,1.41E-08,2.32E-07,1.13E-08,2.31E-07,1.13E-08,2.41E-06,-1.41E-08,-0.096433404,-0.059689905,-0.094766777,-0.068554933,-0.059641291,0.096447236,-0.068413196,0.094741631
-2.40E-06,1.41E-08,2.36E-07,1.12E-08,2.36E-07,1.12E-08,2.40E-06,-1.41E-08,-0.096361111,-0.059341033,-0.094715085,-0.068050344,-0.059299371,0.096311063,-0.067946536,0.094508454
-2.40E-06,1.41E-08,2.40E-07,1.12E-08,2.41E-07,1.12E-08,2.40E-06,-1.41E-08,-0.096238548,-0.058969251,-0.094498041,-0.067702096,-0.058979572,0.096226615,-0.067758577,0.09437747
-2.39E-06,1.41E-08,2.45E-07,1.11E-08,2.44E-07,1.11E-08,2.39E-06,-1.41E-08,-0.096119846,-0.058653474,-0.09447104,-0.067440475,-0.05860471,0.096134102,-0.067399597,0.094445777
-2.38E-06,1.41E-08,2.49E-07,1.11E-08,2.49E-07,1.11E-08,2.38E-06,-1.41E-08,-0.096045957,-0.05830741,-0.094445387,-0.066989468,-0.058265328,0.095995889,-0.066929761,0.094314285
-2.38E-06,1.41E-08,2.54E-07,1.10E-08,2.54E-07,1.10E-08,2.38E-06,-1.40E-08,-0.095921816,-0.057938952,-0.094258424,-0.066609428,-0.057949344,0.095909577,-0.06665789,0.094152617
-2.37E-06,1.41E-08,2.59E-07,1.10E-08,2.58E-07,1.10E-08,2.37E-06,-1.41E-08,-0.095801894,-0.057626322,-0.094188617,-0.06634017,-0.057577741,0.095816331,-0.066352307,0.094163458
-2.36E-06,1.41E-08,2.63E-07,1.09E-08,2.63E-07,1.09E-08,2.36E-06,-1.40E-08,-0.095726576,-0.057283228,-0.094165241,-0.065935227,-0.057240786,0.095676515,-0.065913031,0.094098557
-2.36E-06,1.40E-08,2.67E-07,1.08E-08,2.67E-07,1.08E-08,2.36E-06,-1.40E-08,-0.095600971,-0.056917897,-0.094012179,-0.065545047,-0.05692833,0.095588159,-0.065573101,0.093942583
-2.35E-06,1.40E-08,2.72E-07,1.08E-08,2.71E-07,1.08E-08,2.35E-06,-1.40E-08,-0.095479653,-0.056608384,-0.093918822,-0.065256646,-0.056560278,0.095494057,-0.06528271,0.093893887
-2.35E-06,1.40E-08,2.76E-07,1.07E-08,2.76E-07,1.07E-08,2.34E-06,-1.40E-08,-0.095402968,-0.056268423,-0.093883413,-0.064883759,-0.0562258,0.095352992,-0.064886785,0.093860129
-2.34E-06,1.40E-08,2.80E-07,1.07E-08,2.80E-07,1.07E-08,2.34E-06,-1.40E-08,-0.095276048,-0.055906123,-0.093758342,-0.064498655,-0.05591659,0.095262591,-0.064504041,0.093728748
-2.33E-06,1.40E-08,2.85E-07,1.06E-08,2.84E-07,1.06E-08,2.33E-06,-1.40E-08,-0.095153238,-0.055599641,-0.093657275,-0.064189665,-0.05555221,0.095167463,-0.064204457,0.093632602
-2.33E-06,1.40E-08,2.89E-07,1.06E-08,2.88E-07,1.06E-08,2.33E-06,-1.40E-08,-0.09507518,-0.055262936,-0.093604142,-0.06383435,-0.055220335,0.09502538,-0.063849896,0.093602429
-2.32E-06,1.40E-08,2.93E-07,1.05E-08,2.93E-07,1.05E-08,2.32E-06,-1.40E-08,-0.094947089,-0.054903647,-0.093497,-0.063462424,-0.054914151,0.094933039,-0.063449141,0.093500341
-2.31E-06,1.40E-08,2.97E-07,1.05E-08,2.97E-07,1.05E-08,2.31E-06,-1.40E-08,-0.094822764,-0.054600097,-0.093398528,-0.063137418,-0.05455344,0.094836736,-0.06312936,0.093374105
-2.31E-06,1.40E-08,3.01E-07,1.04E-08,3.01E-07,1.04E-08,2.31E-06,-1.40E-08,-0.094743298,-0.054266715,-0.093328156,-0.062788222,-0.054224308,0.094693752,-0.062806256,0.093330721
9.72E-06,-1.52E-05,-2.06E-06,1.79E-06,-7.26E-07,8.26E-07,-6.93E-06,1.30E-05,0.325126074,0.211035188,87.85696625,-7.938008906,0.085297411,-0.249934879,-13.07249387,-74.68392969
-5.97E-06,-3.46E-07,6.69E-06,-7.01E-06,6.84E-06,-7.13E-06,6.24E-06,1.12E-08,-0.396714132,0.055138687,3.444700372,41.12947505,0.042843879,0.403072127,40.5013685,-1.486768769
-9.74E-06,4.01E-06,-9.62E-07,2.57E-07,-1.59E-07,-3.93E-07,9.45E-06,-3.73E-06,-0.34191438,-0.270102198,-23.14603561,3.081004436,-0.294500337,0.309927649,-0.734543027,21.65207885
-5.95E-06,3.69E-07,-2.34E-06,1.67E-06,-2.77E-06,2.28E-06,5.62E-06,2.30E-07,-0.149460267,-0.26293205,-2.627146776,-13.10818673,-0.239320328,0.148387413,-9.71268965,-0.961844958
-4.53E-06,-1.29E-06,-2.99E-07,2.78E-09,-4.44E-07,8.25E-08,5.04E-06,9.28E-07,-0.160630227,-0.149014631,7.439081737,-0.762660118,-0.156702534,0.185014482,-0.226479228,-5.337892594
-5.84E-06,7.56E-08,4.03E-08,-4.10E-07,3.30E-07,-6.38E-07,5.79E-06,-3.73E-08,-0.225275115,-0.155189585,-0.328762409,3.685546156,-0.16537028,0.215827199,2.358109893,0.15395845
-6.11E-06,4.38E-07,-4.69E-07,-7.44E-08,-4.68E-07,3.12E-08,6.09E-06,-2.46E-07,-0.213159977,-0.189636927,-2.560919976,-0.108428512,-0.189987663,0.212640816,0.461285745,1.431199449
-5.78E-06,1.00E-08,-5.09E-07,1.72E-07,-5.93E-07,1.75E-07,5.88E-06,5.81E-08,-0.198949473,-0.185672485,-0.116706264,-1.02626808,-0.185220606,0.206043559,-1.02683999,-0.27665927
-5.67E-06,-7.15E-08,-3.35E-07,7.51E-08,-3.45E-07,4.26E-08,5.70E-06,4.26E-08,-0.202282496,-0.17403392,0.381577624,-0.279337983,-0.174260045,0.203827149,-0.461186746,-0.207636378
-5.73E-06,6.70E-08,-3.66E-07,-4.21E-08,-3.11E-07,-4.03E-08,5.77E-06,-2.11E-08,-0.204641044,-0.17425966,-0.401377597,0.228811044,-0.17781947,0.204951287,0.22922182,0.136082649
-5.79E-06,6.00E-08,-3.39E-07,2.37E-08,-3.80E-07,-4.67E-09,5.84E-06,2.85E-08,-0.204807414,-0.178514058,-0.36844189,0.020839399,-0.178334776,0.208647375,-0.161697634,-0.136458806
-5.74E-06,9.55E-09,-2.92E-07,9.04E-08,-3.43E-07,4.92E-08,5.75E-06,-1.38E-08,-0.204739268,-0.175858826,-0.088427723,-0.300452177,-0.173729816,0.206734836,-0.53782506,0.121960587
-5.70E-06,3.85E-08,-3.30E-07,2.68E-08,-3.16E-07,2.55E-08,5.71E-06,-3.54E-08,-0.203547761,-0.173311721,-0.250838234,-0.15740266,-0.174335077,0.203799332,-0.165421202,0.232845674
-5.71E-06,3.23E-08,-3.05E-07,2.05E-08,-3.27E-07,-4.23E-09,5.76E-06,1.67E-08,-0.203722035,-0.174432864,-0.208610088,0.012917767,-0.174769124,0.206478768,-0.140308482,-0.069195783
-5.72E-06,1.09E-08,-2.45E-07,7.48E-08,-2.96E-07,2.50E-08,5.72E-06,-6.91E-09,-0.205090691,-0.173448861,-0.091397571,-0.160078341,-0.17111302,0.206752978,-0.448853353,0.078770495
-5.68E-06,3.25E-08,-2.68E-07,4.55E-08,-2.75E-07,3.65E-08,5.67E-06,-4.77E-08,-0.204205411,-0.17132484,-0.218533369,-0.22181314,-0.170690442,0.203934053,-0.270759533,0.30808654
-5.67E-06,3.16E-08,-2.71E-07,2.28E-08,-2.82E-07,1.13E-08,5.69E-06,-1.09E-08,-0.203449037,-0.171439871,-0.207663014,-0.076707003,-0.171664791,0.204934952,-0.147661759,0.090786628
